i,2^i,Tempo Médio,Desvio Padrão,Vazão Média
1,2,26.361666666666668,0.44715138748899397,194105.36764241004
2,4,7.2773666666666665,0.39472433841015353,703130.8486128224
3,8,3.1592,0.12988548802695393,1619695.1759939226
4,16,1.5318333333333334,0.11206517448937173,3340403.2205418344
5,32,0.7787999999999999,0.03978379066906521,6570288.906009246
6,64,0.4343000000000001,0.020608008152172317,11782042.367027398
7,128,0.28506666666666663,0.008517237423797295,17949980.121608984
8,256,0.19323333333333334,0.011489270356873558,26480633.086079005
9,512,0.16716666666666669,0.009555277773740193,30609816.55034895
10,1024,0.13970000000000002,0.014388537104236829,36628067.28704366
11,2048,0.1315,0.0166520269036535,38912098.85931559
12,4096,0.12676666666666667,0.018123557413855962,40365035.49829082
13,8192,0.11316666666666668,0.013669796389607754,45215973.49042709
14,16384,0.10859999999999999,0.018185983613761447,47117320.44198895
15,32768,0.11270000000000001,0.005474486277268394,45403203.1943212
16,65536,0.108,0.012335720489699822,47379083.333333336
